Date,Region,Category,Product,Sales,Profit,Orders,Segment,Customer_Type
2023-01-15,North America,Electronics,Laptop,42000,11200,285,Enterprise,Recurring
2023-01-22,Europe,Furniture,Desk Chair,18500,4800,120,SMB,New
2023-02-03,Asia Pacific,Software,CRM Suite,55000,22000,310,Enterprise,Recurring
2023-02-14,North America,Electronics,Monitor,31000,8900,195,Consumer,New
2023-02-28,Europe,Software,ERP System,48000,18500,275,Enterprise,Recurring
2023-03-10,Asia Pacific,Furniture,Standing Desk,22000,6100,140,SMB,New
2023-03-18,North America,Software,Analytics Tool,61000,25000,350,Enterprise,Recurring
2023-03-25,Europe,Electronics,Server Rack,73000,21500,90,Enterprise,Recurring
2023-04-05,Asia Pacific,Electronics,Tablet,28000,7600,210,Consumer,New
2023-04-12,North America,Furniture,Conference Table,35000,9200,80,Enterprise,New
2023-04-20,Europe,Software,Security Suite,44000,17800,260,Enterprise,Recurring
2023-05-01,Asia Pacific,Software,Cloud Storage,52000,21000,320,SMB,Recurring
2023-05-15,North America,Electronics,Printer,19000,5100,155,Consumer,New
2023-05-22,Europe,Furniture,Filing Cabinet,12000,3400,95,SMB,New
2023-06-03,Asia Pacific,Electronics,Laptop,47000,12800,295,Enterprise,Recurring
2023-06-14,North America,Software,Collaboration,58000,23500,340,Enterprise,Recurring
2023-06-28,Europe,Electronics,Projector,26000,7200,130,SMB,New
2023-07-08,Asia Pacific,Furniture,Ergonomic Chair,24000,6800,150,Consumer,New
2023-07-15,North America,Electronics,Workstation,68000,19500,110,Enterprise,Recurring
2023-07-25,Europe,Software,DevOps Platform,51000,20500,290,Enterprise,Recurring
2023-08-02,Asia Pacific,Software,AI Platform,72000,30000,380,Enterprise,Recurring
2023-08-12,North America,Furniture,Office Pod,41000,11500,65,Enterprise,New
2023-08-20,Europe,Electronics,Network Switch,33000,9800,145,SMB,Recurring
2023-09-01,Asia Pacific,Electronics,Smart Display,21000,5600,175,Consumer,New
2023-09-10,North America,Software,Data Pipeline,63000,26000,355,Enterprise,Recurring
2023-09-22,Europe,Furniture,Modular Desk,27000,7500,110,SMB,New
2023-10-05,Asia Pacific,Software,ML Platform,78000,33000,400,Enterprise,Recurring
2023-10-15,North America,Electronics,Laptop,51000,14200,310,Enterprise,Recurring
2023-10-28,Europe,Electronics,UPS System,29000,8200,125,SMB,New
2023-11-08,Asia Pacific,Furniture,Sit-Stand Desk,25000,7100,135,Consumer,New
2023-11-18,North America,Software,CRM Suite,67000,27500,370,Enterprise,Recurring
2023-11-25,Europe,Software,Helpdesk,39000,15800,230,SMB,Recurring
2023-12-05,Asia Pacific,Electronics,Server Blade,82000,24500,95,Enterprise,Recurring
2023-12-12,North America,Furniture,Executive Desk,38000,10200,75,Enterprise,New
2023-12-20,Europe,Electronics,Laptop,54000,15100,325,Enterprise,Recurring
2023-12-28,North America,Software,Security Suite,71000,29000,385,Enterprise,Recurring
2024-01-08,Asia Pacific,Software,Analytics Tool,59000,24200,335,Enterprise,Recurring
2024-01-15,North America,Electronics,Monitor,34000,9800,205,Consumer,New
2024-01-22,Europe,Furniture,Bookcase,15000,4200,100,SMB,New
2024-02-01,Asia Pacific,Electronics,Tablet,30000,8100,220,Consumer,New
2024-02-12,North America,Software,ERP System,62000,25500,345,Enterprise,Recurring
2024-02-20,Europe,Software,Cloud Storage,47000,19000,280,SMB,Recurring
2024-03-03,Asia Pacific,Furniture,Conference Table,32000,8600,75,Enterprise,New
2024-03-12,North America,Electronics,Printer,21000,5700,165,Consumer,New
2024-03-22,Europe,Electronics,Smart Display,24000,6500,180,Consumer,New
2024-04-02,Asia Pacific,Software,Collaboration,56000,22800,330,Enterprise,Recurring
2024-04-10,North America,Furniture,Standing Desk,28000,7900,145,SMB,New
2024-04-18,Europe,Electronics,Server Rack,76000,22500,95,Enterprise,Recurring
2024-05-01,Asia Pacific,Electronics,Workstation,65000,18700,105,Enterprise,Recurring
2024-05-12,North America,Software,DevOps Platform,69000,28200,375,Enterprise,Recurring
2024-05-20,Europe,Furniture,Ergonomic Chair,23000,6500,140,Consumer,New
2024-06-03,Asia Pacific,Software,AI Platform,81000,34000,410,Enterprise,Recurring
2024-06-12,North America,Electronics,Laptop,55000,15400,330,Enterprise,Recurring
2024-06-22,Europe,Software,Data Pipeline,58000,23800,345,Enterprise,Recurring
2024-07-05,Asia Pacific,Furniture,Office Pod,44000,12400,70,Enterprise,New
2024-07-15,North America,Electronics,Network Switch,36000,10500,155,SMB,Recurring
2024-07-25,Europe,Electronics,Projector,27000,7400,135,SMB,New
2024-08-02,Asia Pacific,Software,CRM Suite,64000,26200,360,Enterprise,Recurring
2024-08-10,North America,Furniture,Modular Desk,31000,8700,115,SMB,New
2024-08-18,Europe,Software,ML Platform,74000,31000,390,Enterprise,Recurring
2024-09-01,Asia Pacific,Electronics,Laptop,58000,16200,340,Enterprise,Recurring
2024-09-10,North America,Software,Security Suite,72000,29500,380,Enterprise,Recurring
2024-09-20,Europe,Furniture,Sit-Stand Desk,26000,7300,130,Consumer,New
2024-10-02,Asia Pacific,Electronics,Server Blade,85000,25500,100,Enterprise,Recurring
2024-10-12,North America,Electronics,Smart Display,23000,6200,185,Consumer,New
2024-10-22,Europe,Software,Helpdesk,42000,17000,245,SMB,Recurring
2024-11-01,Asia Pacific,Software,Analytics Tool,66000,27000,365,Enterprise,Recurring
2024-11-10,North America,Furniture,Executive Desk,40000,10800,80,Enterprise,New
2024-11-20,Europe,Electronics,Monitor,37000,10700,215,Consumer,New
2024-12-01,Asia Pacific,Furniture,Conference Table,34000,9100,78,Enterprise,New
2024-12-10,North America,Software,ERP System,75000,30800,395,Enterprise,Recurring
2024-12-18,Europe,Electronics,UPS System,31000,8800,130,SMB,New
2024-12-28,Asia Pacific,Electronics,Tablet,33000,9000,230,Consumer,New
2025-01-05,North America,Software,Cloud Storage,60000,24500,340,SMB,Recurring
2025-01-12,Europe,Software,Collaboration,53000,21500,315,Enterprise,Recurring
2025-01-20,Asia Pacific,Electronics,Laptop,62000,17400,350,Enterprise,Recurring
2025-01-28,North America,Furniture,Standing Desk,30000,8400,150,SMB,New
2025-02-05,Europe,Electronics,Server Rack,79000,23500,98,Enterprise,Recurring
2025-02-12,Asia Pacific,Software,AI Platform,88000,37000,430,Enterprise,Recurring
2025-02-20,North America,Electronics,Workstation,70000,20100,115,Enterprise,Recurring
2025-02-28,Europe,Furniture,Ergonomic Chair,25000,7000,145,Consumer,New
2025-03-05,Asia Pacific,Electronics,Smart Display,26000,7000,190,Consumer,New
2025-03-12,North America,Software,Data Pipeline,68000,27800,370,Enterprise,Recurring
2025-03-20,Europe,Software,DevOps Platform,56000,22800,330,Enterprise,Recurring
2025-03-28,Asia Pacific,Furniture,Office Pod,46000,12900,72,Enterprise,New
2025-04-05,North America,Electronics,Laptop,59000,16500,345,Enterprise,Recurring
2025-04-12,Europe,Electronics,Projector,28000,7600,138,SMB,New
2025-04-20,Asia Pacific,Software,CRM Suite,71000,29000,385,Enterprise,Recurring
2025-04-28,North America,Furniture,Modular Desk,33000,9200,120,SMB,New
2025-05-05,Europe,Software,Security Suite,63000,25800,360,Enterprise,Recurring
2025-05-12,Asia Pacific,Electronics,Monitor,39000,11200,225,Consumer,New
2025-05-20,North America,Software,ML Platform,82000,34500,415,Enterprise,Recurring
2025-05-28,Europe,Furniture,Sit-Stand Desk,27000,7600,132,Consumer,New
2025-06-05,Asia Pacific,Electronics,Server Blade,89000,26700,105,Enterprise,Recurring
2025-06-12,North America,Electronics,Tablet,35000,9500,240,Consumer,New
2025-06-20,Europe,Software,Helpdesk,45000,18200,255,SMB,Recurring
2025-06-28,Asia Pacific,Software,Analytics Tool,73000,29800,390,Enterprise,Recurring
2025-07-05,North America,Furniture,Executive Desk,42000,11300,82,Enterprise,New
2025-07-12,Europe,Electronics,Network Switch,38000,11000,160,SMB,Recurring
2025-07-20,Asia Pacific,Furniture,Conference Table,36000,9600,80,Enterprise,New
2025-07-28,North America,Software,ERP System,78000,32000,405,Enterprise,Recurring
2025-08-05,Europe,Electronics,Laptop,61000,17100,355,Enterprise,Recurring
2025-08-12,Asia Pacific,Software,Cloud Storage,57000,23200,330,SMB,Recurring
2025-08-20,North America,Electronics,Printer,24000,6500,175,Consumer,New
2025-08-28,Europe,Furniture,Desk Chair,20000,5500,125,SMB,New
2025-09-05,Asia Pacific,Electronics,Workstation,72000,20700,118,Enterprise,Recurring
2025-09-12,North America,Software,Collaboration,65000,26500,365,Enterprise,Recurring
2025-09-20,Europe,Software,AI Platform,84000,35200,425,Enterprise,Recurring
2025-09-28,Asia Pacific,Furniture,Standing Desk,29000,8100,148,SMB,New
2025-10-05,North America,Electronics,Server Rack,81000,24000,100,Enterprise,Recurring
2025-10-12,Europe,Electronics,UPS System,32000,9100,132,SMB,New
2025-10-20,Asia Pacific,Software,DevOps Platform,62000,25200,350,Enterprise,Recurring
2025-10-28,North America,Furniture,Ergonomic Chair,26000,7300,142,Consumer,New
2025-11-05,Europe,Software,Data Pipeline,70000,28600,380,Enterprise,Recurring
2025-11-12,Asia Pacific,Electronics,Laptop,67000,18800,365,Enterprise,Recurring
2025-11-20,North America,Software,CRM Suite,76000,31000,400,Enterprise,Recurring
2025-11-28,Europe,Furniture,Office Pod,48000,13500,75,Enterprise,New
2025-12-05,Asia Pacific,Electronics,Smart Display,28000,7500,195,Consumer,New
2025-12-12,North America,Electronics,Monitor,41000,11800,230,Consumer,New
2025-12-20,Europe,Software,Security Suite,69000,28200,375,Enterprise,Recurring
2025-12-28,Asia Pacific,Software,ML Platform,91000,38200,445,Enterprise,Recurring
2023-01-28,North America,Software,Helpdesk,36000,14600,215,SMB,Recurring
2023-02-18,Europe,Electronics,Tablet,25000,6800,195,Consumer,New
2023-03-08,Asia Pacific,Furniture,Bookcase,14000,3900,90,SMB,New
2023-04-28,North America,Electronics,Network Switch,31000,9000,140,SMB,Recurring
2023-05-08,Europe,Software,ML Platform,67000,28000,375,Enterprise,Recurring
2023-06-18,Asia Pacific,Electronics,Printer,17000,4600,150,Consumer,New
2023-07-28,North America,Software,AI Platform,69000,28800,375,Enterprise,Recurring
2023-08-08,Europe,Furniture,Standing Desk,23000,6400,135,SMB,New
2023-09-18,Asia Pacific,Software,ERP System,54000,22000,305,Enterprise,Recurring
2023-10-08,North America,Furniture,Sit-Stand Desk,24000,6700,125,Consumer,New
2023-11-28,Europe,Electronics,Workstation,62000,17800,100,Enterprise,Recurring
2023-12-08,Asia Pacific,Software,Collaboration,50000,20200,295,Enterprise,Recurring
2024-01-28,North America,Electronics,Projector,25000,6800,125,SMB,New
2024-02-08,Europe,Furniture,Executive Desk,37000,9900,72,Enterprise,New
2024-03-18,Asia Pacific,Software,Helpdesk,40000,16200,235,SMB,Recurring
2024-04-28,North America,Electronics,UPS System,28000,7900,118,SMB,New
2024-05-08,Europe,Software,Analytics Tool,60000,24500,340,Enterprise,Recurring
2024-06-18,Asia Pacific,Furniture,Bookcase,16000,4500,105,SMB,New
2024-07-28,North America,Software,Cloud Storage,55000,22400,325,SMB,Recurring
2024-08-08,Europe,Electronics,Tablet,32000,8700,225,Consumer,New
2024-09-18,Asia Pacific,Furniture,Desk Chair,19000,5200,115,SMB,New
2024-10-08,North America,Software,Collaboration,61000,24800,350,Enterprise,Recurring
2024-11-28,Europe,Electronics,Printer,22000,6000,170,Consumer,New
2024-12-08,Asia Pacific,Software,Security Suite,68000,27800,370,Enterprise,Recurring
2025-01-08,North America,Electronics,Smart Display,25000,6700,188,Consumer,New
2025-02-18,Europe,Furniture,Modular Desk,29000,8100,112,SMB,New
2025-03-08,Asia Pacific,Electronics,Network Switch,35000,10100,152,SMB,Recurring
2025-04-18,North America,Software,Helpdesk,43000,17400,250,SMB,Recurring
2025-05-08,Europe,Electronics,Workstation,66000,19000,108,Enterprise,Recurring
2025-06-18,Asia Pacific,Furniture,Ergonomic Chair,27000,7600,148,Consumer,New
2025-07-08,North America,Electronics,UPS System,30000,8500,128,SMB,New
2025-08-18,Europe,Software,ERP System,71000,29000,385,Enterprise,Recurring
2025-09-08,Asia Pacific,Electronics,Projector,29000,7900,140,SMB,New
2025-10-18,North America,Furniture,Bookcase,17000,4800,98,SMB,New
2025-11-08,Europe,Electronics,Tablet,36000,9800,235,Consumer,New
2025-12-08,Asia Pacific,Furniture,Executive Desk,43000,11600,78,Enterprise,New
2023-02-08,North America,Furniture,Desk Chair,17000,4600,112,SMB,New
2023-04-18,Europe,Software,Cloud Storage,45000,18200,265,SMB,Recurring
2023-06-08,Asia Pacific,Electronics,Monitor,29000,8300,200,Consumer,New
2023-08-18,North America,Furniture,Bookcase,13000,3600,85,SMB,New
2023-10-28,Europe,Software,AI Platform,76000,31800,395,Enterprise,Recurring
2023-12-18,Asia Pacific,Furniture,Modular Desk,26000,7200,108,SMB,New
2024-02-28,North America,Electronics,Smart Display,22000,5900,178,Consumer,New
